,PC,PC,RA,RA,SA1,SA1,FiringRate_value,Spikes_n_items,Spikes_diff_mean,depth,Pin_Radius,Spikes_diff_time_inrange,Spikes_diff_mean_2,Spikes_diff_mean_5,Frequency
46,0,0,1,1,0,0,34.88,68,0.05626666666666667,0.8300000000000005,0.9200000000000006,0.28500000000000003,0.05626666666666667,0.14057777777777777,35
47,1,1,0,0,0,0,13.22,26,0.14905,2.7500000000000018,0.8000000000000005,0.6888,0.14905,0.36710476190476193,45
48,1,1,0,0,0,0,35.53,40,0.05687368421052632,1.270000000000001,0.6100000000000003,0.2786,0.05687368421052632,0.14253714285714283,35
49,1,1,0,0,0,0,46.6,64,0.04203548387096775,1.6700000000000013,0.5200000000000002,0.2068,0.04203548387096775,0.10504745762711865,95
50,0,0,1,1,0,0,90.0,119,0.021411965811965816,0.6700000000000004,0.5100000000000002,0.11620000000000001,0.021411965811965816,0.05326842105263157,95
51,0,0,1,1,0,0,32.97,55,0.057683018867924526,1.480000000000001,0.9900000000000007,0.29319999999999996,0.057683018867924526,0.144424,55
52,0,0,1,1,0,0,145.4,258,0.013591406249999998,0.5100000000000002,0.335,0.0782,0.013591406249999998,0.033894071146245056,65
53,1,1,0,0,0,0,75.7,110,0.026618518518518514,0.4100000000000001,0.8350000000000004,0.1308,0.026618518518518514,0.06659999999999999,75
54,1,1,0,0,0,0,280.5,555,0.0070759493670886076,1.0600000000000007,1.1500000000000008,0.0476,0.0070759493670886076,0.017618545454545453,95
55,1,1,0,0,0,0,65.75,66,0.030687499999999996,1.1600000000000008,1.2000000000000008,0.1504,0.030687499999999996,0.07681311475409835,65
56,1,1,0,0,0,0,36.8,48,0.0533,2.6700000000000017,1.1900000000000008,0.26599999999999996,0.0533,0.13327906976744186,75
57,1,1,0,0,0,0,122.4,167,0.015709090909090905,1.0900000000000007,0.7800000000000005,0.08520000000000001,0.015709090909090905,0.03912098765432099,75
58,0,0,1,1,0,0,24.25,42,0.07931,2.1900000000000017,1.270000000000001,0.3888,0.07931,0.19887027027027024,75
59,1,1,0,0,0,0,34.0,58,0.05710357142857143,2.0200000000000014,1.2100000000000009,0.28459999999999996,0.05710357142857143,0.14279999999999998,35
60,1,1,0,0,0,0,220.6,374,0.009018817204301074,0.9700000000000006,0.5550000000000002,0.060200000000000004,0.009018817204301074,0.022364769647696476,75
61,1,1,0,0,0,0,29.0,49,0.0666340425531915,1.9100000000000015,0.9700000000000006,0.3324,0.0666340425531915,0.1666090909090909,45
62,1,1,0,0,0,0,33.75,49,0.05711489361702127,0.9900000000000007,1.290000000000001,0.285,0.05711489361702127,0.1428,35
63,1,1,0,0,0,0,186.0,365,0.010662258953168044,1.8000000000000014,1.420000000000001,0.06860000000000001,0.010662258953168044,0.026476111111111113,95
64,1,1,0,0,0,0,28.56,47,0.06765333333333333,1.9600000000000015,1.350000000000001,0.33699999999999997,0.06765333333333333,0.16903809523809527,65
65,0,0,1,1,0,0,53.94,95,0.03630537634408602,0.6600000000000004,1.2150000000000007,0.1792,0.03630537634408602,0.09084444444444445,55
66,1,1,0,0,0,0,15.61,21,0.13245263157894735,0.6400000000000003,0.39000000000000007,0.6608,0.13245263157894735,0.33224999999999993,15
67,0,0,1,1,0,0,44.1,72,0.04443714285714286,0.8800000000000006,0.4450000000000001,0.2218,0.04443714285714286,0.11108358208955224,45
68,1,1,0,0,0,0,86.8,112,0.022661818181818182,0.7000000000000004,1.300000000000001,0.13119999999999998,0.022661818181818182,0.055958878504672904,45
69,1,1,0,0,0,0,280.0,407,0.007089382716049383,0.4300000000000001,1.390000000000001,0.0436,0.007089382716049383,0.01766268656716418,95
70,0,0,1,1,0,0,147.6,226,0.013445535714285714,0.5300000000000002,0.6100000000000003,0.0762,0.013445535714285714,0.03342081447963802,75
71,1,1,0,0,0,0,55.03,63,0.03628524590163935,1.5500000000000012,0.34,0.1792,0.03628524590163935,0.09079999999999998,55
72,0,0,1,1,0,0,126.94,241,0.015532217573221757,0.5000000000000002,1.375000000000001,0.0912,0.015532217573221757,0.03866440677966102,75
73,1,1,0,0,0,0,41.3,52,0.04643599999999999,1.6500000000000012,0.5550000000000002,0.2328,0.04643599999999999,0.11604255319148933,45
74,0,0,1,1,0,0,132.8,164,0.014796296296296297,0.4300000000000001,0.5950000000000002,0.0918,0.014796296296296297,0.03660754716981132,85
75,1,1,0,0,0,0,253.4,390,0.007868556701030928,0.6900000000000004,0.5100000000000002,0.0444,0.007868556701030928,0.01964103896103896,85
76,1,1,0,0,0,0,53.16,67,0.03662153846153846,1.6300000000000012,0.325,0.19060000000000002,0.03662153846153846,0.09116451612903226,55
77,1,1,0,0,0,0,45.56,59,0.0433719298245614,0.7100000000000004,0.6150000000000002,0.2362,0.0433719298245614,0.10722592592592592,25
78,0,0,1,1,0,0,106.2,115,0.018302654867256636,0.4100000000000001,0.5250000000000001,0.1024,0.018302654867256636,0.04555090909090909,55
79,0,0,1,1,0,0,31.47,47,0.06140444444444445,1.6500000000000012,0.38000000000000006,0.3036,0.06140444444444445,0.15367142857142857,65
80,0,0,1,1,0,0,87.6,131,0.02234573643410853,0.46000000000000013,0.8650000000000004,0.1252,0.02234573643410853,0.055671428571428566,45
81,1,1,0,0,0,0,313.8,472,0.006369787234042554,0.4100000000000001,0.5600000000000003,0.045399999999999996,0.006369787234042554,0.01585139186295503,85
82,1,1,0,0,0,0,105.6,164,0.019034567901234565,0.4100000000000001,0.8200000000000005,0.0922,0.019034567901234565,0.04756729559748428,35
83,1,1,0,0,0,0,279.2,435,0.007092378752886835,1.0900000000000007,1.405000000000001,0.0476,0.007092378752886835,0.01763906976744186,95
84,1,1,0,0,0,0,38.47,61,0.05054237288135594,1.1600000000000008,0.8400000000000005,0.24519999999999997,0.05054237288135594,0.1255,45
85,1,1,0,0,0,0,53.16,56,0.03667037037037037,1.500000000000001,0.32,0.19060000000000002,0.03667037037037037,0.0912156862745098,55
86,1,1,0,0,0,0,94.8,137,0.021022222222222223,2.370000000000002,0.3,0.10260000000000001,0.021022222222222223,0.05259090909090909,95
87,1,1,0,0,0,0,43.75,86,0.044442857142857145,1.0800000000000007,0.8300000000000005,0.2226,0.044442857142857145,0.11109382716049385,45
88,1,1,0,0,0,0,84.9,143,0.023506382978723404,2.0200000000000014,1.440000000000001,0.1156,0.023506382978723404,0.05878405797101449,85
89,1,1,0,0,0,0,166.1,261,0.011805405405405405,0.7900000000000005,1.380000000000001,0.0698,0.011805405405405405,0.029441406249999996,85
90,1,1,0,0,0,0,60.53,88,0.03205813953488372,2.4600000000000017,1.350000000000001,0.16820000000000002,0.03205813953488372,0.07999759036144577,95
91,0,0,1,1,0,0,28.95,33,0.06449032258064516,1.1600000000000008,1.0350000000000006,0.3372,0.06449032258064516,0.16160714285714287,95
92,1,1,0,0,0,0,30.92,38,0.06150555555555556,2.8100000000000023,0.6600000000000004,0.3072,0.06150555555555556,0.1537878787878788,65
93,1,1,0,0,0,0,45.34,73,0.04433521126760563,0.9400000000000006,1.2300000000000009,0.217,0.04433521126760563,0.11097941176470588,45
94,1,1,0,0,0,0,42.94,83,0.045762962962962964,1.290000000000001,1.465000000000001,0.22999999999999995,0.045762962962962964,0.11462564102564102,65
95,0,0,1,1,0,0,31.75,51,0.06153877551020408,0.9700000000000006,0.6800000000000004,0.308,0.06153877551020408,0.15381304347826089,65
96,0,0,1,1,0,0,26.27,33,0.07221935483870967,1.6500000000000012,0.4000000000000001,0.36539999999999995,0.07221935483870967,0.1809428571428571,85
97,0,0,1,1,0,0,11.14,21,0.17678947368421055,1.380000000000001,0.4100000000000001,0.9855999999999999,0.17678947368421055,0.46068749999999997,75
98,1,1,0,0,0,0,43.94,52,0.043436,1.9700000000000015,0.5650000000000002,0.22419999999999998,0.043436,0.1086808510638298,95
99,1,1,0,0,0,0,106.2,170,0.018588095238095237,1.2000000000000008,0.3950000000000001,0.1068,0.018588095238095237,0.04602666666666667,55
100,0,0,1,1,0,0,14.06,20,0.1304,1.7500000000000013,0.6050000000000002,0.7094,0.1304,0.32704000000000005,55
101,0,0,1,1,0,0,173.5,296,0.011419727891156464,0.37000000000000005,1.290000000000001,0.0702,0.011419727891156464,0.028413745704467353,55
102,1,1,0,0,0,0,65.3,126,0.03072258064516129,2.0300000000000016,0.8600000000000005,0.15,0.03072258064516129,0.0768611570247934,65
103,1,1,0,0,0,0,42.7,43,0.04513170731707317,0.4100000000000001,0.8200000000000005,0.26119999999999993,0.04513170731707317,0.11183157894736842,15
104,0,0,1,1,0,0,88.2,128,0.02225079365079365,0.6100000000000003,0.4350000000000001,0.11420000000000001,0.02225079365079365,0.05559186991869918,45
105,0,0,1,1,0,0,34.12,39,0.05712972972972972,0.6800000000000004,1.2550000000000008,0.2848,0.05712972972972972,0.1428235294117647,35
106,1,1,0,0,0,0,46.16,87,0.042105882352941174,1.9300000000000015,0.4550000000000001,0.21080000000000002,0.042105882352941174,0.1052512195121951,95
107,0,0,1,1,0,0,107.75,132,0.01820307692307692,0.5600000000000003,0.47500000000000014,0.093,0.01820307692307692,0.045451968503937006,55
108,1,1,0,0,0,0,45.5,77,0.044336,0.46000000000000013,0.36500000000000005,0.21739999999999998,0.044336,0.11097777777777777,45
109,1,1,0,0,0,0,194.8,369,0.010274659400544959,0.5600000000000003,1.375000000000001,0.055799999999999995,0.010274659400544959,0.02567142857142857,85
110,0,0,1,1,0,0,166.8,282,0.01183857142857143,0.5700000000000003,0.5350000000000001,0.0686,0.01183857142857143,0.029464259927797835,85
111,0,0,1,1,0,0,17.11,29,0.11056296296296299,2.0500000000000016,1.2450000000000008,0.5772,0.11056296296296299,0.27300833333333324,95
112,1,1,0,0,0,0,76.75,99,0.025418556701030926,1.1300000000000008,0.39000000000000007,0.12040000000000001,0.025418556701030926,0.06320425531914894,75
113,0,0,1,1,0,0,30.28,43,0.06412195121951218,1.1600000000000008,0.4250000000000001,0.31679999999999997,0.06412195121951218,0.16047368421052632,55
114,0,0,1,1,0,0,12.5,19,0.14537647058823536,1.6500000000000012,1.1000000000000008,0.695,0.14537647058823536,0.3656714285714286,95
115,0,0,1,1,0,0,239.9,455,0.008282560706401767,0.33,1.0150000000000006,0.0544,0.008282560706401767,0.020621333333333335,95
116,0,0,1,1,0,0,18.8,36,0.10043529411764705,1.300000000000001,1.3650000000000009,0.534,0.10043529411764705,0.25216774193548386,45
117,0,0,1,1,0,0,30.48,54,0.06317692307692307,1.1300000000000008,0.4350000000000001,0.3162,0.06317692307692307,0.15790612244897959,95
118,0,0,1,1,0,0,44.72,70,0.04437941176470589,1.0200000000000007,1.0600000000000007,0.2184,0.04437941176470589,0.11101846153846154,45
119,0,0,1,1,0,0,18.83,36,0.10054117647058824,1.370000000000001,0.8500000000000005,0.5438,0.10054117647058824,0.2512,55
120,0,0,1,1,0,0,19.19,21,0.09958947368421052,1.5700000000000012,1.1150000000000007,0.47140000000000004,0.09958947368421052,0.24745,55
121,0,0,1,1,0,0,34.75,69,0.057023880597014916,0.8200000000000005,0.4300000000000001,0.27999999999999997,0.057023880597014916,0.142721875,35
122,1,1,0,0,0,0,30.2,36,0.06396470588235295,2.2600000000000016,1.2750000000000008,0.30979999999999996,0.06396470588235295,0.1593096774193548,85
123,0,0,1,1,0,0,31.38,61,0.06149830508474576,1.0700000000000007,1.1300000000000008,0.3076,0.06149830508474576,0.1538142857142857,65
124,0,0,1,1,0,0,15.12,16,0.11739999999999998,1.1900000000000008,0.34500000000000003,0.6038,0.11739999999999998,0.3024363636363636,25
125,0,0,1,1,0,0,29.83,54,0.06507307692307693,1.1600000000000008,1.1500000000000008,0.3334,0.06507307692307693,0.16189795918367345,75
126,1,1,0,0,0,0,98.6,192,0.02009894736842105,0.8200000000000005,0.8150000000000004,0.114,0.02009894736842105,0.04975401069518716,35
127,1,1,0,0,0,0,45.44,53,0.04429411764705883,1.2000000000000008,1.0600000000000007,0.2168,0.04429411764705883,0.11092916666666668,45
128,0,0,1,1,0,0,6.066,11,0.29728888888888894,1.2000000000000008,1.0750000000000006,1.5348000000000002,0.29728888888888894,0.6680333333333334,15
129,0,0,1,1,0,0,32.22,54,0.06095769230769231,1.1200000000000008,1.390000000000001,0.30899999999999994,0.06095769230769231,0.15223265306122447,65
130,0,0,1,1,0,0,40.8,53,0.047074509803921576,1.6100000000000012,1.360000000000001,0.23579999999999998,0.047074509803921576,0.11764583333333334,85
131,1,1,0,0,0,0,49.1,93,0.04034945054945055,0.6600000000000004,0.8250000000000004,0.217,0.04034945054945055,0.10034772727272728,25
132,0,0,1,1,0,0,11.79,17,0.1628133333333333,1.2300000000000009,0.9900000000000007,0.8508,0.1628133333333333,0.4164666666666667,25
133,0,0,1,1,0,0,20.88,38,0.0929611111111111,1.480000000000001,0.36500000000000005,0.5302,0.0929611111111111,0.23299393939393942,65
134,1,1,0,0,0,0,95.7,156,0.021025974025974024,0.9400000000000006,0.38000000000000006,0.1032,0.021025974025974024,0.05259337748344371,95
135,1,1,0,0,0,0,53.78,82,0.03634,2.820000000000002,0.6550000000000002,0.18100000000000002,0.03634,0.09086753246753246,55
136,1,1,0,0,0,0,15.75,30,0.1322,0.9400000000000006,0.9350000000000005,0.65,0.1322,0.33203999999999995,15
137,0,0,1,1,0,0,33.72,46,0.0570909090909091,0.7800000000000005,1.0150000000000006,0.2854,0.0570909090909091,0.14278536585365853,35
138,1,1,0,0,0,0,248.8,387,0.007995844155844157,1.1800000000000008,1.2950000000000008,0.0574,0.007995844155844157,0.019829319371727747,85
139,0,0,1,1,0,0,12.875,16,0.13861428571428572,1.350000000000001,0.6750000000000003,0.6229999999999999,0.13861428571428572,0.3367818181818182,85
140,0,0,1,1,0,0,13.11,14,0.13324999999999998,1.6300000000000012,1.0150000000000006,0.5606,0.13324999999999998,0.3330222222222222,25
141,0,0,1,1,0,0,120.1,143,0.016395744680851067,0.33,0.33,0.0852,0.016395744680851067,0.040563768115942034,25
142,1,1,0,0,0,0,44.75,58,0.04308214285714286,1.270000000000001,1.445000000000001,0.2192,0.04308214285714286,0.10744528301886794,65
143,0,0,1,1,0,0,28.23,53,0.06911372549019608,1.6200000000000012,0.5650000000000002,0.34359999999999996,0.06911372549019608,0.17297916666666666,55
144,1,1,0,0,0,0,75.25,137,0.026666666666666665,0.4200000000000001,0.7900000000000005,0.12940000000000002,0.026666666666666665,0.06663030303030303,25
145,1,1,0,0,0,0,85.6,167,0.02349939393939394,0.9200000000000006,0.6000000000000003,0.1154,0.02349939393939394,0.05878271604938272,85
146,1,1,0,0,0,0,95.4,189,0.0210331550802139,1.280000000000001,0.9600000000000006,0.10320000000000001,0.0210331550802139,0.05260326086956522,95
147,1,1,0,0,0,0,24.27,31,0.07995172413793103,1.8500000000000014,1.2100000000000009,0.3996,0.07995172413793103,0.1999076923076923,25
148,0,0,1,1,0,0,42.38,71,0.046397101449275356,0.47000000000000014,1.0300000000000007,0.2354,0.046397101449275356,0.1162060606060606,15
149,0,0,1,1,0,0,165.8,298,0.011866216216216216,0.4200000000000001,0.48500000000000015,0.0748,0.011866216216216216,0.029532423208191126,85
150,0,0,1,1,0,0,32.97,48,0.05830434782608695,1.380000000000001,1.1450000000000007,0.298,0.05830434782608695,0.14551162790697675,85
151,0,0,1,1,0,0,29.33,36,0.06653529411764705,1.360000000000001,1.460000000000001,0.3368,0.06653529411764705,0.16638709677419353,95
152,1,1,0,0,0,0,130.6,143,0.015334751773049644,0.5300000000000002,1.385000000000001,0.0728,0.015334751773049644,0.03838985507246377,65
153,0,0,1,1,0,0,170.2,340,0.011501183431952663,0.31,1.2400000000000009,0.0786,0.011501183431952663,0.028678208955223876,35
154,1,1,0,0,0,0,64.9,103,0.03072871287128712,2.1800000000000015,0.5500000000000003,0.15120000000000003,0.03072871287128712,0.07686122448979593,65
155,0,0,1,1,0,0,219.1,262,0.008981538461538461,0.36000000000000004,0.8100000000000005,0.05500000000000001,0.008981538461538461,0.022325291828793774,75
156,0,0,1,1,0,0,24.3,29,0.07637037037037038,2.1000000000000014,0.47000000000000014,0.3686,0.07637037037037038,0.19045,65
157,1,1,0,0,0,0,54.47,99,0.03634432989690722,2.8500000000000023,0.7400000000000004,0.1814,0.03634432989690722,0.09087446808510638,55
158,0,0,1,1,0,0,22.48,29,0.08490370370370372,1.7400000000000013,1.0600000000000007,0.45559999999999995,0.08490370370370372,0.21142499999999997,55
159,0,0,1,1,0,0,136.2,172,0.014381176470588234,0.4000000000000001,1.0750000000000006,0.0812,0.014381176470588234,0.03569461077844312,85
160,0,0,1,1,0,0,18.03,22,0.10262,1.460000000000001,1.4150000000000011,0.5262,0.10262,0.2631411764705882,95
161,0,0,1,1,0,0,91.5,156,0.021449350649350652,0.35000000000000003,1.1250000000000007,0.11560000000000002,0.021449350649350652,0.053459602649006635,25
162,0,0,1,1,0,0,73.8,126,0.0266741935483871,0.49000000000000016,0.7700000000000005,0.13340000000000002,0.0266741935483871,0.06666611570247934,75
163,1,1,0,0,0,0,24.34,35,0.07993333333333334,1.5500000000000012,0.9100000000000006,0.3992,0.07993333333333334,0.19990000000000002,25
164,1,1,0,0,0,0,40.12,48,0.048969565217391306,1.7200000000000013,0.8700000000000006,0.24459999999999996,0.048969565217391306,0.12255813953488372,55
165,0,0,1,1,0,0,14.086,24,0.1350090909090909,1.470000000000001,1.3250000000000008,0.6599999999999999,0.1350090909090909,0.33381052631578945,35
166,1,1,0,0,0,0,253.1,310,0.007893506493506492,0.8800000000000006,0.5050000000000001,0.044,0.007893506493506492,0.01967016393442623,85
167,0,0,1,1,0,0,221.0,329,0.00894006116207951,0.33,1.1550000000000007,0.0538,0.00894006116207951,0.02227469135802469,75
168,1,1,0,0,0,0,43.94,71,0.04441159420289855,1.300000000000001,0.315,0.2214,0.04441159420289855,0.11106060606060605,45
169,0,0,1,1,0,0,36.47,69,0.05373731343283583,1.0100000000000007,1.3450000000000009,0.2872,0.05373731343283583,0.13434062500000002,55
170,0,0,1,1,0,0,57.88,92,0.03352666666666666,0.6100000000000003,0.9450000000000005,0.1754,0.03352666666666666,0.08345517241379309,45
171,0,0,1,1,0,0,74.56,134,0.026156060606060606,1.270000000000001,1.450000000000001,0.1354,0.026156060606060606,0.06531317829457364,95
172,1,1,0,0,0,0,35.25,62,0.05698666666666666,1.450000000000001,0.325,0.2786,0.05698666666666666,0.1426736842105263,35
173,1,1,0,0,0,0,68.06,88,0.028890697674418604,1.8200000000000014,1.2300000000000009,0.1534,0.028890697674418604,0.07154698795180722,75
174,0,0,1,1,0,0,7.715,11,0.24564444444444447,1.1000000000000008,0.9950000000000006,1.2362,0.24564444444444447,0.5704000000000001,25
175,0,0,1,1,0,0,26.33,28,0.06924615384615383,2.0100000000000016,0.9350000000000005,0.3252,0.06924615384615383,0.17375652173913042,65
176,0,0,1,1,0,0,190.2,341,0.010343362831858407,0.31,1.405000000000001,0.0626,0.010343362831858407,0.02576309523809523,65
177,0,0,1,1,0,0,10.484,14,0.18111666666666668,1.450000000000001,0.37000000000000005,0.8864,0.18111666666666668,0.4774444444444444,45
178,0,0,1,1,0,0,16.22,32,0.12049333333333333,2.3800000000000017,0.6200000000000003,0.6162,0.12049333333333333,0.3041481481481481,65
179,1,1,0,0,0,0,74.94,92,0.026680000000000002,0.4400000000000001,1.420000000000001,0.1292,0.026680000000000002,0.06662528735632185,25
180,1,1,0,0,0,0,74.75,149,0.026677551020408162,0.4500000000000001,0.8650000000000004,0.12940000000000002,0.026677551020408162,0.06664166666666665,25
181,1,1,0,0,0,0,17.7,34,0.1096625,1.0600000000000007,1.450000000000001,0.519,0.1096625,0.26711724137931037,25
182,1,1,0,0,0,0,158.2,161,0.011979874213836478,1.1000000000000008,0.38000000000000006,0.07500000000000001,0.011979874213836478,0.029651282051282053,85
183,1,1,0,0,0,0,14.9,23,0.1330095238095238,1.0300000000000007,0.38500000000000006,0.6604,0.1330095238095238,0.33291111111111105,15
184,1,1,0,0,0,0,284.5,359,0.007017366946778711,0.5600000000000003,0.4250000000000001,0.0344,0.007017366946778711,0.017535028248587572,95
185,0,0,1,1,0,0,92.56,144,0.021135211267605633,0.6300000000000003,0.7650000000000003,0.1108,0.021135211267605633,0.05268057553956834,95
186,0,0,1,1,0,0,94.8,144,0.020826760563380283,0.8400000000000005,0.4200000000000001,0.1116,0.020826760563380283,0.051917985611510786,95
187,1,1,0,0,0,0,124.6,166,0.015582926829268293,0.9300000000000006,1.375000000000001,0.0956,0.015582926829268293,0.03869937888198757,65
188,1,1,0,0,0,0,35.66,44,0.05692380952380952,1.0000000000000007,0.38000000000000006,0.2824,0.05692380952380952,0.14258974358974358,35
189,0,0,1,1,0,0,20.31,25,0.09513913043478261,1.490000000000001,0.35500000000000004,0.5047999999999999,0.09513913043478261,0.23472999999999997,85
